"GeneID"	"control_1"	"control_2"	"control_3"	"treatment_1"	"treatment_2"	"treatment_3"	"treatment_4"	"treatment_5"	"treatment_6"	"treatment_7"	"treatment_8"	"treatment_9"	"treatment_10"	"treatment_11"	"treatment_12"
"AT2G41530"	909.996	1109.591	869.511	1007.597	925.908	1090.254	1055.805	923.545	921.888	948.271	885.103	1025.481	627.283	438.237	619.95
"AT2G41560"	317.058	450.665	415.78	333.144	361.374	457.337	398.572	502.779	426.373	377.607	308.717	298.238	104.052	52.914	94.715
"AT2G41630"	446.077	391.487	399.756	381.319	339.799	378.445	326.853	311.117	341.518	366.551	308.717	306.65	485.574	854.766	653.435
"AT2G41650"	251.175	207.124	211.685	178.003	280.469	187.443	209.28	171.159	151.902	213.467	243.724	232.473	81.259	104.471	96.628
"AT2G41840"	3622.142	3930.798	3682.14	2796.612	2828.066	2968.245	3072.18	2913.266	2919.661	2605.832	2640.77	2741.498	2635.974	2523.594	2775.426
"AT2G41870"	274.509	314.1	383.732	553.607	625.662	658.424	814.78	750.603	706.082	1383.71	1395.64	1057.599	2483.365	2748.818	2351.602
"AT2G41905"	9.608	10.242	17.711	21.23	39.553	24.913	36.448	8.915	12.571	43.374	104.331	39	129.817	210.299	339.633
"AT2G41940"	303.332	508.705	336.503	256.39	307.438	285.317	325.677	321.814	224.186	209.215	244.579	300.532	90.178	52.914	55.489
"AT2G42000"	0.686	6.828	0	0	0	2.373	1.176	0	1.048	0	5.131	1.529	185.311	470.8	435.305
"AT2G42210"	1290.877	1375.893	1228.786	1248.473	1296.272	1290.154	1105.185	1046.565	1133.503	893.841	1002.261	1059.893	895.835	961.951	1010.29
"AT2G42220"	3268.026	4090.124	4598.88	4270.447	4764.383	4496.855	4297.29	3446.354	3991.355	2637.299	2289.294	2392.789	364.676	215.727	280.317
"AT2G42300"	144.117	143.393	196.504	186.985	206.756	221.847	258.66	202.36	212.663	258.542	204.386	174.355	91.169	94.974	106.195
