GeneID	control_1	control_2	treatment_1	treatment_2
LOC_Os12g41970	0	0	0	0
LOC_Os12g41962	10.98068253	9.8930271	9.667349807	12.71186569
LOC_Os12g41962	0	0.844190266	0.613125734	0
LOC_Os12g41962	0	0	0	0
LOC_Os12g41962	2.64459245	1.563986563	2.099153459	2.371722697
LOC_Os12g41956	5.330653919	4.833829507	5.546993028	5.363639973
LOC_Os12g41950	5.378441347	7.282237392	11.53846893	13.13685457
LOC_Os12g41940	0.123077172	0.133927449	0	0.123838773
LOC_Os12g41940	0	0	0.756298878	0
LOC_Os12g41930	0.46320497	0.168013447	0	0
LOC_Os12g41930	0	0	0	0
LOC_Os12g41930	9.848206993	11.7880492	2.476474261	7.747151789
LOC_Os12g41920	0	0	4.699767229	0.545606512
LOC_Os12g41920	8.944802774	7.63400906	8.829605836	6.705996471
LOC_Os12g41920	4.784724677	5.51893024	0.317641713	2.407166262
LOC_Os12g41910	0	0	0	0
LOC_Os12g41910	1.810392701	4.067084137	0.129232105	0.470089136
LOC_Os12g41900	12.20607692	12.05610007	14.62731896	15.45593136
LOC_Os12g41890	0	0	0	0
LOC_Os12g41880	14.27457102	8.556309819	10.57395546	9.859280174
LOC_Os12g41880	6.084259879	7.72407767	1.589474291	4.251325862
LOC_Os12g41870	0	0	0	0
LOC_Os12g41860	5.618820214	6.843378413	1.140717123	1.089223653
LOC_Os12g41850	0	0	0	0
LOC_Os12g41840	0	0	0.259583103	0.118031038
LOC_Os12g41830	4.559363003	3.905711169	2.146671722	3.22106422
LOC_Os12g41820	19.45194154	21.22338771	33.26201222	30.66677455
LOC_Os12g41810	11.08842927	10.43743119	3.462338977	4.175335636
LOC_Os12g41800	0	0	0	0
LOC_Os12g41800	46.64249634	45.55377771	40.73744887	34.64175638
LOC_Os12g41790	0	0	0.705455256	0
LOC_Os12g41780	0	0.995320169	0	0.843648013
LOC_Os12g41780	0.912544123	0.24824812	0.588979248	0
LOC_Os12g41770	0	0.41048297	0	0
LOC_Os12g41760	7.163704453	4.067084137	5.513903152	5.641069627
LOC_Os12g41750	0	0	0	0
