ID	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6	treatment_7	treatment_8	treatment_9	treatment_10	treatment_11	treatment_12
AT1G75210	222.352	232.161	198.191	229.445	183.384	263.963	188.117	164.027	214.758	256.841	165.903	240.885	427.107	427.383	462.093
AT1G75220	518.135	479.116	557.465	368.255	345.193	300.146	330.38	374.41	309.042	269.598	236.027	254.65	374.586	620.044	867.739
AT1G75230	89.215	71.697	92.77	54.707	62.926	71.774	45.853	75.773	81.713	94.402	76.965	56.589	82.25	54.271	77.494
AT1G75240	146.862	179.811	163.613	160.04	138.437	195.154	164.602	149.764	221.044	160.738	159.917	153.707	74.323	70.552	32.528
AT1G75250	75.49	39.831	94.457	92.268	97.086	97.874	55.259	54.379	78.57	12.757	19.669	15.294	5.946	6.784	3.827
AT1G75260	4.118	12.518	8.434	11.431	8.989	7.118	5.879	4.457	2.095	4.252	5.131	16.824	7.928	9.497	7.654
AT1G75270	206.568	158.188	112.168	151.058	127.65	149.48	163.426	124.803	135.14	168.393	182.152	204.179	148.645	120.753	78.451
AT1G75280	829.016	737.451	795.295	1081.084	1111.09	1135.336	904.136	640.063	688.273	1320.776	1331.502	1001.775	393.414	283.565	297.538
AT1G75290	6.176	2.276	3.373	7.349	7.192	5.339	12.933	0	12.571	6.804	13.683	3.059	6.937	0	5.74
AT1G75300	5.49	26.175	27.831	24.496	28.766	35.59	51.732	31.201	14.666	55.28	75.255	38.236	21.801	20.352	12.437
AT1G75310	59.019	23.899	91.084	37.56	16.181	62.283	57.611	65.076	52.38	39.121	47.034	23.706	60.449	25.779	27.745
AT1G75330	555.194	492.772	538.068	449.091	449.47	382.004	470.292	499.213	447.325	396.318	450.675	443.534	330.983	276.781	214.304
AT1G75335	28.823	17.071	18.554	15.514	19.777	17.202	24.69	16.046	15.714	27.215	11.117	27.53	14.865	27.135	22.961
AT1G75340	55.588	64.868	103.734	79.203	44.947	78.892	49.381	81.122	55.523	94.402	91.503	74.177	86.214	65.125	112.892
AT1G75350	3261.849	3863.654	3586.839	3498.01	3162.472	2928.502	3192.105	2617.304	2884.042	2451.897	2268.77	2266.611	1093.037	1017.578	1105.961
AT1G75360	1.373	1.138	8.434	1.633	0	1.186	0	5.349	3.143	1.701	0.855	3.824	4.955	0	0
AT1G75370	282.058	213.952	289.275	258.84	329.012	344.634	379.761	339.643	358.279	382.71	321.545	354.827	851.241	1162.753	1012.203
AT1G75380	2835.674	3032.883	3996.716	3511.891	4440.765	4574.561	4126.809	4720.24	4567.535	4206.411	4325.458	3633.919	2187.066	1457.172	2351.602
AT1G75388	56.274	28.451	25.301	56.341	71.915	64.656	62.314	69.533	82.76	117.364	156.496	77.236	208.103	145.174	243.962
AT1G75390	56.274	28.451	25.301	56.341	71.915	64.656	62.314	69.533	82.76	117.364	156.496	77.236	208.103	145.174	243.962
AT1G75400	151.666	132.013	116.385	109.415	86.298	94.315	169.305	139.958	135.14	210.065	178.731	165.178	733.316	845.268	869.653
AT1G75410	254.607	284.511	333.973	343.759	435.087	360.65	337.434	374.41	441.039	354.645	329.241	399.945	458.818	283.565	378.859
AT1G75420	70	52.35	55.662	68.588	111.469	67.029	69.368	74.882	62.856	51.879	50.455	94.06	26.756	18.995	17.221
AT1G75430	0	0	0	0	0	0.593	0	0	2.095	0	0.855	0	0	0	0
AT1G75440	268.332	351.655	307.829	240.06	258.895	200.493	212.807	186.314	228.377	261.944	255.696	223.296	67.386	56.984	77.494
AT1G75450	54.215	7.966	13.494	6.532	16.181	10.084	4.703	9.806	6.286	12.757	13.683	20.647	28.738	9.497	8.61
AT1G75460	1631.954	2206.664	2379.138	2995.029	3665.878	3277.288	3574.217	2978.342	3299.939	3457.15	3578.038	2841.676	1904.64	1113.909	1710.604
AT1G75470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G75490	17.843	15.933	26.144	16.331	39.553	5.339	14.109	2.674	2.095	6.804	2.566	1.529	39.639	69.195	73.667
AT1G75500	1440.484	1773.07	1684.204	1780.033	1736.753	1624.705	1232.164	1428.107	1483.401	1160.888	1672.716	1322.19	96.124	82.763	68.883
AT1G75510	220.979	236.713	176.264	235.16	248.108	183.884	236.322	183.639	231.52	184.551	211.227	220.238	316.119	328.339	300.408
AT1G75520	4.804	5.69	10.12	11.431	5.394	7.118	5.879	3.566	10.476	16.159	17.959	7.647	7.928	12.211	9.567
AT1G75530	0	0	0	0	0	0	0	0	0	0	0	0	2.973	0	0
AT1G75540	231.96	307.271	430.117	346.208	364.97	409.29	331.556	352.124	365.612	284.056	219.779	294.415	548.996	527.784	554.894
AT1G75550	0	0	1.687	2.45	7.192	2.373	0	0	0	0	0	0	0	0	0
AT1G75560	308.136	317.514	281.685	275.17	258.895	253.285	243.376	213.057	236.758	280.654	204.386	235.532	440.981	483.01	445.829
AT1G75580	50.784	31.865	75.06	13.881	28.766	37.37	81.125	30.309	60.761	62.935	57.296	29.824	54.503	35.276	72.71
AT1G75590	25.392	27.313	42.168	28.579	14.383	13.643	16.46	23.178	10.476	14.458	53.876	24.471	0	4.07	1.913
AT1G75600	0	0	0	0	0	0	0	0	0	0.85	0	0	12.883	48.844	85.148
AT1G75620	3.431	2.276	1.687	3.266	3.596	6.525	0	7.132	0	9.355	1.71	6.882	0.991	0	6.697
