gene_id	control_1	control_2	control_3	control_4	control_5	control_6	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6
#N/A	277.73	263.94	97.22	105.14	214.55	213.06	223.07	229.18	98.25	110.34	134.71	134.81
#N/A	11.52	8.92	5.86	3.39	12.18	14.94	17.63	15.92	9.59	8.74	95.54	81.65
#N/A	276.04	287.43	0.98	5.71	107.98	75.69	156.41	154.78	1.06	1.13	13.79	26.5
#N/A	0.85	2.3	1.41	0.44	1.16	0.57	2.69	2.03	1.09	0.56	0.86	2.58
#N/A	14.12	12.2	15.09	9.81	17.11	16.39	17.57	8.78	34.99	52.01	37.09	30.45
#N/A	4.59	5.34	33.03	39.16	1.77	0.83	4.55	5.36	26.26	26.48	3.46	2.46
#N/A	12.14	12.95	3.41	3.38	12.13	12.34	13.24	13.77	3.09	4.56	7.94	8.12
#N/A	27.93	26.9	12.22	11.37	26.57	28.92	29.43	25.99	15.24	16.23	31.42	32.21
#N/A	9.29	9.6	3.15	4.02	12.13	9.6	17.37	20.36	3.89	3.78	8.36	7.56
#N/A	2.81	1.43	1.37	2.17	2.37	3.79	2.43	5.35	1.37	0.93	2.9	4.81
#N/A	2.42	1.68	41.34	45.06	1.5	2.16	2.79	2.17	20.35	20.74	1.36	0.9
#N/A	6.44	5.26	19.3	15.56	4.51	6.69	9.31	7.5	7.42	8.5	13.91	17.14
#N/A	231.68	230.84	33.29	29.22	140.35	114.37	180.51	150.43	38.1	43.39	46.37	53.47
#N/A	2.79	5.68	39.34	40.96	5.64	1.41	2.9	1.45	31.2	20.85	7.46	2.87
#N/A	1.51	0.92	2.94	3.74	5.5	1.53	1.57	1.57	0.59	1.81	5.61	3.42
#N/A	4.73	5.68	32.14	27.19	6.51	6.5	12.92	19.15	41.32	39.77	97.35	99.24
#N/A	11.25	8.73	2.01	3.66	5.53	8.66	9.52	9.67	3.31	2.36	3.51	3.65
#N/A	29.27	28.26	17.95	20.19	31.43	21.15	19.8	21.08	19.16	19.01	27.58	26.85
#N/A	10.34	12.61	1.81	0.8	8.35	7.83	9.12	12.76	1.11	1.54	11.08	9.98
#N/A	24.71	26.8	4.26	4.16	20.07	23.44	28.02	26.8	6.15	5.57	15.5	13.8
#N/A	116.22	124.18	5.2	4.74	20.15	14.89	116.58	114.48	8.69	9.54	26.02	28.41
#N/A	59.47	63.5	48.42	42.69	90.35	88.98	134.42	138.66	415	409.76	1147.62	1176.26
#N/A	36.83	38.9	8.59	12.17	14.94	14.12	29.35	26.17	13.44	9.28	12.26	12.22
#N/A	2.23	2.77	0.96	0.38	0.5	1.25	3.34	1.28	0.96	1.73	2.3	2.54
#N/A	11.02	5.73	7.93	9.1	1.91	3.79	13.44	11.32	3.64	2.47	11.81	10.95
#N/A	24.68	24.33	33.76	35.65	30.48	37.2	45.69	47.98	60.92	61.89	35.79	35.67
#N/A	3.11	3.27	5.32	4.48	6.29	4.01	1	1.22	0.52	1.07	3.1	3.42
#N/A	0.62	0.31	2.03	3.34	0.31	1.79	2.24	0.89	4.23	3.7	3.52	4.59
#N/A	16.99	19.63	176.62	175.55	10.37	12.61	21.49	22.22	75.01	70.94	13.23	11.15
#N/A	58.51	58.94	28.66	27.74	45.46	46.58	55.43	50.82	45.32	46.18	53.85	55.36
#N/A	10.54	10.63	73.36	65.58	9.65	10.24	25.84	25.85	55.9	57.79	7.26	7.05
#N/A	6.67	4.76	7.04	5.62	7.36	3.84	4.85	6.29	10.72	11.28	6.9	9.65
#N/A	110.05	112.1	30.31	29.93	67.95	72.67	98.88	96.09	38.4	37.1	70.38	76.45
#N/A	39.78	38.72	9.01	12.19	30.26	30.65	38.84	34.96	14.4	11.72	21.27	17.17
#N/A	11.06	10.23	4.55	3.79	15.63	14.63	11.68	9.44	5.51	5.53	12.27	8.35
