"GeneID"	"control_1"	"control_2"	"control_3"	"treatment_1"	"treatment_2"	"treatment_3"
"LOC_Os01g43710"	3239	3560	3219	3459	4261	4028
"LOC_Os01g43910"	453	388	417	495	556	479
"LOC_Os01g44210"	9793	12603	9699	12252	13186	13739
"LOC_Os01g45274"	103450.65	122568.35	107105.99	148480.37	175364.32	183460.63
"LOC_Os01g45460"	3	9	6	84	117.5	78
"LOC_Os01g45470"	10834	14109	11338	8774	14781	13675
"LOC_Os01g45640"	43	68	30	344	327	452
"LOC_Os01g45750"	1828	1573	1447	2698	3407	2297
"LOC_Os01g46070"	1417	1672	1521	2804	2626	2686
"LOC_Os01g46080"	318.67	298	297	468	492	463
"LOC_Os01g46380"	1843	1863	1692	3122	3144	2522
"LOC_Os01g46580"	368	413	337	439	488	496
"LOC_Os01g46610"	8965	9118	8002	2858	2919.5	2624
"LOC_Os01g46760"	1097	1344	836	1487	1377	1507
"LOC_Os01g46926"	2729	2254	2512	2038	2534	1892
"LOC_Os01g46980"	3290	3110	2776	3837.5	3963	3503
"LOC_Os01g47070"	2846	2889	3248	1088	1124	687
"LOC_Os01g47080"	272	227	283	180	193	153
"LOC_Os01g47190"	1198	1451	1103	1579	1876	1607
"LOC_Os01g47262"	544	570	520	684	712	670
"LOC_Os01g47330"	3874	4946	4157	5076	6280	5201
"LOC_Os01g47340"	8464	9990	6765	9975	11153	9965.5
"LOC_Os01g47430"	1413	1506	1405	1782	1898	1559
"LOC_Os01g47490"	497	521	534	968	1190	887
"LOC_Os01g47630"	234	288	134	583	768	516
"LOC_Os01g47660"	623	827	735	1442	1531	1536
"LOC_Os01g47690"	911	1071	809	2175.5	1961	2409
"LOC_Os01g47760"	380	380	309	631	431	598
"LOC_Os01g48190"	1705	1856	1358	1540	1624	1464
"LOC_Os01g48280"	2138	2407	2222	1619	2147	1641
"LOC_Os01g48370"	814	844	665	882	978	829
"LOC_Os01g48420"	6040	6255.5	5302	6923.5	8135	6811
"LOC_Os01g48444"	1580	1778	1466	1305	1449	1391
"LOC_Os01g48690"	3933	4332	4068	4846	5293	4684
"LOC_Os01g48770"	1218	1482	1481	2646.5	2813	2876
"LOC_Os01g48810"	683	761	593	982	1230	995
